key,first_temp,last_temp,active_power,reactive_power,time_heating,full_work,full_power,bulk_1,bulk_2,bulk_3,bulk_4,bulk_5,bulk_6,bulk_7,bulk_9,bulk_10,bulk_11,bulk_12,bulk_13,bulk_14,bulk_15,wire_1,wire_2,wire_3,wire_4,wire_6,wire_7,wire_8,wire_9,gas_1
2443,1543.0,1593.0,2.925116,1.925335,959.0,1031.5065608281516,4.136738718714538,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,0.0,121.0,236.0,74.124962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2570218353
2444,1568.0,1573.0,2.842579,2.135813,605.0,825.4104465249384,4.020013773916951,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,8.0,277.0,0.0,116.0,246.0,77.70671899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.729059021000001
2445,1580.0,1591.0,2.371358,1.84069,686.0,548.6080848341611,3.353606644841938,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,0.0,118.0,240.0,121.386727,71.147438,0.0,0.0,0.0,0.0,0.0,0.0,7.0261189041000005
2447,1640.0,1594.0,2.823412,1.996054,445.0,609.2183549380385,3.992907542566945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,125.0,229.0,145.06127899999998,31.094959000000003,0.0,0.0,0.0,0.0,0.0,0.0,14.938165741
2448,1613.0,1595.0,2.381268,1.805258,552.0,623.5558698222655,3.3676215012450554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,0.0,117.0,230.0,129.03071599999998,24.097839,0.0,0.0,0.0,0.0,0.0,0.0,3.7907871909
2449,1585.0,1597.0,2.454124,1.840227,559.0,394.4059290903965,3.4706554445453097,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,132.08831800000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8464068649
2450,1619.0,1596.0,3.028305,2.214292,689.0,819.0291599639066,4.282670002002256,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,117.0,205.0,171.225587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6263305363
2451,1557.0,1597.0,3.40053,2.655608,1626.0,1412.429885517552,4.8090756452565815,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,361.0,0.0,235.0,204.0,13.01664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0592570047
2452,1601.0,1610.0,3.8343,2.857059,1256.0,985.4459291575758,5.422519062207158,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,156.0,0.0,145.0,205.0,126.147835,20.086559,0.0,0.0,0.0,0.0,0.0,0.0,16.6186484556
2453,1562.0,1588.0,2.165654,1.509449,798.0,693.5923258676995,3.062697258207543,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,144.0,204.0,118.154396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.031277531999999
